eweek,number
1,83
2,68
3,54
4,45
5,48
6,50
7,28
8,38
9,51
10,37
11,37
12,36
13,24
14,38
15,38
16,56
17,55
18,74
19,62
20,63
21,64
22,52
23,75
24,55
25,59
26,75
27,56
28,44
29,41
30,56
31,50
32,59
33,42
34,66
35,75
36,75
37,49
38,63
39,40
40,51
41,51
42,60
43,78
44,74
45,71
46,78
47,97
48,109
49,113
50,107
51,127
52,160
53,NA
